image_name,cluster_label
20250508_140028_Search box_Inputted text_default_Bella.png,6
20250508_140837_Media ouput_Radio button_default_Bella.png,0
com.android.settings.intelligence_SearchActivity_20250509_145000_Setting_text of topic and recent searches_default_Yan.jpg,1
com.android.settings_SecProcessTextManageAppsFragment_20250508_174139_Phone_Recent&BACK KEY_default_Crystal.png,1
com.android.settings_SecProcessTextManageAppsFragment_20250509_154124_Phone_task bar icon_poor_Default_xuka.png,1
com.samsung.android.app.contacts_PeopleActivity_20250508_175652_Contact_Group icon_Default_Rubby.png,8
com.samsung.android.app.dressroom_EditMainActivity_20250509_074131_Wallpaer and style_selected menu_default_Zany.png,5
com.samsung.android.app.dressroom_EditMainActivity_20250509_074715_Wallpeper and style_Default_Eva.png,5
com.samsung.android.app.dressroom_EditMainActivity_20250509_153626_Wallpeper and style_Default_Eva.png,5
com.samsung.android.calendar_FabActivity_20250508_180006_Calendar_Quick add icons_Default_Rubby.png,2
com.samsung.android.calendar_FabActivity_20250509_074826_Calendar_Default_Eva.png,2
com.samsung.android.calendar_FabActivity_20250509_154842_Calendar_Event & reminder icons_poor_Default_xuka.png,2
com.samsung.android.dialer_DialtactsActivity_20250509_081812_Phone_Selected number poor_Default_Alice.png,3
com.samsung.android.dialer_DialtactsActivity_20250509_145454_Task bar_app icons in Dark mode_default_Yan.jpg,8
com.samsung.android.dialer_DialtactsActivity_20250509_155929_Dark mode_phone_apps icon on task bar_poor_Default_xuka.png,8
com.samsung.android.dialer_DialtactsActivity_20250509_162558_Phone_Keyoad_select inputted numbe_default_Zany.png,3
com.samsung.android.honeyboard_PopUpSVoiceReco_20250508_174119_Keyboard_Search bar_Text_Poor_Default_Joe.png,7
com.samsung.android.honeyboard_PopUpSVoiceReco_20250509_073510_Keyboard_Search voice_language text_default_Zany_1.png,7
com.samsung.android.honeyboard_PopUpSVoiceReco_20250509_081305_Speaknow poor_Default_Alice.png,7
com.samsung.android.lool_DefaultActivity_20250522_100451.png,1
com.samsung.android.lool_DefaultActivity_20250522_100502.png,1
com.samsung.android.messaging_ContactPickerActivity_20250509_074115_Message_Forward a message_selected menu_default_Zany.png,8
com.samsung.android.messaging_ContactPickerActivity_20250509_074528_Message_Default_Eva.png,8
com.samsung.android.messaging_ContactPickerActivity_20250509_153529_Message_Default_Eva.png,8
com.samsung.android.messaging_ConversationComposer_20250509_150114_Message_the sending link_default_Yan.jpg,9
com.sec.android.app.clockpackage_AlarmEditActivity_20250508_180229_Clock_unselected date_Default_Rubby.png,2
com.sec.android.app.launcher_LauncherActivity_20250508_170024_Media output_unselected radio button_default_Zany_1.png,0
com.sec.android.app.launcher_LauncherActivity_20250508_170131_Media output_unselected radio button_default_Zany_2.png,0
com.sec.android.app.launcher_LauncherActivity_20250508_170352_Media output_unselected radio button_default_Zany_3.png,0
com.sec.android.app.launcher_LauncherActivity_20250508_172803_Home screen_Indicator bar_poor_Default_Joe.png,4
com.sec.android.app.launcher_LauncherActivity_20250508_173051_Dark mode_Search box_Icons_poor_Default_Joe.png,7
com.sec.android.app.launcher_LauncherActivity_20250508_173136_Quick panel_WiFi signal_poor_Default_Joe.png,-1
com.sec.android.app.launcher_LauncherActivity_20250508_175702_Media output_Radio button_default_Crystal.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_073606_Media output_unselected radio button_default_Zany_4.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_073701_Media output_unselected radio button_default_Zany_5.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_073820_Keyboard_Search voice_Speak now text_default_Zany_2.png,7
com.sec.android.app.launcher_LauncherActivity_20250509_073913_Media output_unselected radio button_default_Zany_5.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_074005_Quick panel_default_Eva.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_074007_Media output_unselected radio button_default_Zany_6.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_074433_Keyboard_Search voice_Speak now & language text_default_Zany_2.png,7
com.sec.android.app.launcher_LauncherActivity_20250509_074530_Media output_unselected radio button_default_Zany_7.png,0
com.sec.android.app.launcher_LauncherActivity_20250509_082154_Quick panel_Wifi signal poor_Default_Alice.png,-1
com.sec.android.app.launcher_LauncherActivity_20250509_144748_Keyboard_EN icon_default_Yan.jpg,6
com.sec.android.app.launcher_LauncherActivity_20250509_153254_Home screen_Default_Eva.png,4
com.sec.android.app.launcher_LauncherActivity_20250509_154513_apps screen_More icon on search box_poor_Default_xuka.png,4
com.sec.android.app.launcher_LauncherActivity_20250509_154604_some unselected checkbox_poor_Default_xuka.png,4
com.sec.android.app.launcher_LauncherActivity_20250509_162747_Lock screen_Swipe to open text_Default_Zany.png,5
com.sec.android.app.myfiles_MainActivity_20250509_150327_My file_More menu button_default_Yan.jpg,1
com.sec.android.gallery3d_GalleryActivity_20250509_144845_Gallery_text of selected option_default_Yan.jpg,2
default_image_001.jpg,9
default_image_002.jpg,2
default_image_003.jpg,5
default_image_004.jpg,6
default_image_005.jpg,9
default_image_006.jpg,3
default_image_007.jpg,9
default_image_008.jpg,1
default_image_009.jpg,2
default_image_010.jpg,-1
default_image_011.jpg,9
default_image_012.jpg,1
default_image_013.jpg,2
default_image_014.jpg,9
default_image_015.jpg,-1
default_image_016.jpg,1
default_image_017.jpg,0
default_image_018.jpg,2
default_image_019.jpg,1
default_image_020.jpg,9
default_image_021.jpg,9
default_image_022.jpg,8
default_image_023.jpg,5
default_image_024.jpg,2
default_image_025.jpg,-1
default_image_026.jpg,3
default_image_027.jpg,6
default_image_029.jpg,2
default_image_030.jpg,6
default_image_031.jpg,2
default_image_032.jpg,9
default_image_033.jpg,7
default_image_034.jpg,1
default_image_035.jpg,1
default_image_036.jpg,4
default_image_037.jpg,3
default_image_038.jpg,6
default_image_039.jpg,8
default_image_040.jpg,2
default_image_041.jpg,1
default_image_045.jpg,1
default_image_046.jpg,0
default_image_047.jpg,1
default_image_048.jpg,1
default_image_049.jpg,9
default_image_050.jpg,8
